UV,SolarRad,Avg_Wind,Rel_humidity,pop_Density,StringyInd,PM25,DailyTemp,Precipitation,DailyCases,DailyDeath,TotPop,CSR
6,14.8,9,80,95.96282149,69.44,61,26.4,176.0976161,6656,108,31949777,0.000208327
9,37.6,11.3,20.6,414.9,72.69,19,32.3,2.175207877,5988,247,4485414,0.001334994
6,25.9,5.7,91,64.91462641,82.41,80,17.6,39.64330766,35022,3465,127575529,0.00027452
4,17,11.1,66.5,1704.9,72.69,10,16.7,70.69943418,899,53,812855,0.001105978
5,22.9,16,74.5,511.4759276,79.63,35,19.5,49.44298564,42627,5440,17332850,0.002459319
6,15.5,13,73.1,2029.4,72.69,11,21.3,158.3897734,6693,468,390144,0.017155204
5,17.6,17.9,62,27012.5,72.69,11,8.9,125.3103726,24062,2126,8336817,0.002886233
4,18.3,15.8,85,18.38517337,83.33,35,15.4,161.3379141,1497,21,4917000,0.000304454
4,16.8,19.7,78.9,244.1,72.69,17,2.9,110.8199846,261,3,108860,0.002397575
4,19.4,16,63,82.59151467,72.22,52,20.2,57.52034661,1642,91,2083459,0.000788112
6,22.8,12,65,14.54829163,67.59,14,4.5,57.83571692,8105,219,5347896,0.001515549
6,16.4,18.7,70.6,956.4,72.69,27,18.9,129.0780381,954,43,655158,0.001456137
3,14.6,12.3,65.1,14.8,72.69,12,4.5,57.37050762,21469,1751,13448494,0.001596387
6,24.1,12,40,275.2893187,89.81,81,28.2,23.16223551,32081,706,216565318,0.000148135
4,21.2,14,70,124.0234822,83.33,73,18.9,74.3083787,15996,800,37970874,0.00042127
3,9.7,8,68,79.8376858,86.11,49,21.6,77.80781342,10032,215,6944975,0.001444498
7,10,9,84,7952.998418,76.85,26,29.8,174.5162676,23336,20,5703569,0.004091473
3,14.9,14,64,113.2855865,73.15,82,20.1,55.68278442,1457,26,5454073,0.00026714
6,21.3,7.6,57.7,47.63011978,84.26,120,14,46.53996764,10015,194,58558270,0.000171026
5,24.1,12,65,529.3585013,43.52,42,14.4,98.86870795,10909,256,51709098,0.000210969
5,18.1,17,54,93.67719744,81.94,49,16.2,55.08173619,224350,26621,47076781,0.004765619
6,18.2,8,79.5,345.558922,79.63,43,28.9,170.0901511,863,9,21803000,3.96E-05
7,6.9,16,80,658,25.93,93,25,168.5555026,440,6,23855010,1.84E-05
7,13.8,9,75,135.8972068,75,67,32.4,151.3657198,3009,56,69625582,4.32E-05
6,23.2,17,70,106.9601289,75.93,46,18.6,27.80574754,138657,3786,83429615,0.001661964
